,HOGAR_REF_ID,VIVIENDA_REF_ID,NHOG,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H19A,H19B,H19C,H19D,PROP,INDHAC,TOTPERS,ALGUNBI,RADIO_REF_ID,RC10
0,7269837,8364681,1,2,4,1,1,1,2,0,0,0,4,2,4,1,2,1,2,6,1,1,1,29442,181050101
1,7269838,8364683,1,1,4,1,1,1,1,1,2,1,4,4,6,1,1,1,2,1,2,4,0,29442,181050101
2,7269839,8364683,2,1,4,1,1,1,1,1,2,1,4,2,5,2,1,1,2,3,3,5,0,29442,181050101
3,7269840,8364684,1,1,4,1,2,3,1,1,2,1,4,1,2,2,2,1,2,3,5,5,0,29442,181050101
4,7269841,8364685,1,1,4,1,1,1,1,1,1,1,4,2,3,1,2,1,1,1,1,1,0,29442,181050101
5,7269842,8364688,1,2,4,1,1,1,1,1,1,1,4,2,4,1,2,1,2,2,1,1,0,29442,181050101
6,7269843,8364689,1,2,4,1,1,1,2,0,0,0,4,1,4,1,2,1,2,1,1,2,1,29442,181050101
7,7269844,8364690,1,2,4,1,2,2,1,2,3,1,4,3,4,1,1,1,1,4,4,6,0,29442,181050101
8,7269845,8364691,1,2,4,2,2,1,1,1,2,1,4,2,3,1,2,1,2,1,5,8,0,29442,181050101
9,7269846,8364692,1,2,4,2,2,1,1,1,2,1,4,2,3,1,2,2,2,2,5,6,0,29442,181050101
10,7269847,8364693,1,2,4,1,1,1,1,1,2,1,4,2,3,1,1,1,2,1,5,8,0,29442,181050101
11,7269848,8364694,1,2,4,1,1,1,1,1,2,1,4,2,2,1,2,1,2,1,5,4,0,29442,181050101
12,7269849,8364694,2,2,6,2,1,1,1,1,3,1,4,2,2,1,2,1,2,1,5,4,0,29442,181050101
13,7269850,8364695,1,2,4,2,1,1,2,0,0,0,4,2,2,2,2,2,2,5,5,4,1,29442,181050101
14,7269851,8364696,1,1,4,1,1,1,1,1,2,1,4,2,4,1,2,1,2,1,5,8,1,29442,181050101
15,7269852,8364697,1,2,4,1,1,1,1,1,2,1,4,2,3,1,2,1,2,2,4,5,0,29442,181050101
16,7269853,8364698,1,1,4,1,1,1,1,1,2,1,4,3,5,1,2,1,2,1,2,3,0,29442,181050101
17,7269854,8364700,1,2,4,1,1,1,1,1,2,1,4,2,3,1,2,2,2,1,1,1,0,29442,181050101
18,7269855,8364701,1,2,4,1,1,1,1,1,2,1,4,2,2,1,2,1,2,4,5,5,0,29442,181050101
19,7269856,8364702,1,2,4,1,2,1,1,1,2,1,4,2,2,1,2,1,2,4,1,1,0,29442,181050101
20,7269857,8364703,1,2,4,2,2,1,1,2,3,1,4,2,2,1,2,1,2,4,5,6,0,29442,181050101
21,7269858,8364704,1,2,6,2,2,1,1,2,3,1,4,1,1,1,2,1,2,1,5,3,0,29442,181050101
22,7269859,8364705,1,2,4,2,1,1,1,1,2,1,4,3,4,1,2,1,2,1,3,5,0,29442,181050101
23,7269860,8364706,1,2,4,1,2,1,1,1,2,1,4,2,4,1,2,1,2,1,3,5,0,29442,181050101
24,7269861,8364707,1,3,6,2,3,4,1,2,4,1,6,1,1,2,2,2,2,2,3,1,0,29442,181050101
25,7269862,8364709,1,1,4,1,1,1,1,1,1,1,4,3,4,1,2,1,2,1,3,4,0,29442,181050101
26,7269863,8364710,1,2,4,1,1,1,1,1,1,1,4,1,2,1,2,1,2,2,1,1,0,29442,181050101
27,7269864,8364711,1,2,4,2,1,1,1,1,1,1,4,2,2,2,2,1,2,4,4,3,0,29442,181050101
28,7269865,8364712,1,2,4,2,1,1,1,1,1,1,4,2,2,1,2,1,2,1,5,6,0,29442,181050101
29,7269866,8364713,1,1,4,1,1,1,1,1,1,1,4,4,5,1,2,1,2,1,2,3,0,29442,181050101
30,7269867,8364714,1,1,4,1,1,1,1,1,1,1,4,3,5,1,1,1,2,1,3,5,0,29442,181050101
31,7269868,8364716,1,2,4,2,1,1,1,1,1,1,4,2,2,1,2,1,2,1,5,4,0,29442,181050101
32,7269869,8364717,1,2,4,2,1,1,1,1,1,1,4,1,1,2,2,1,2,1,5,3,0,29442,181050101
33,7269870,8364718,1,3,4,2,1,1,1,1,1,1,4,1,1,1,2,1,2,4,5,3,0,29442,181050101
34,7269871,8364719,1,3,6,2,1,1,1,1,1,1,4,3,3,2,2,2,2,1,2,2,0,29442,181050101
35,7269872,8364722,1,2,4,2,1,1,2,0,0,0,4,1,2,2,2,1,2,1,4,3,1,29442,181050101
36,7269873,8364723,1,2,4,2,1,1,1,1,1,1,4,2,3,1,2,1,2,1,3,3,0,29442,181050101
