,HOGAR_REF_ID,VIVIENDA_REF_ID,IDHOGAR,CATCUARTH,COMBUSTIH,INODOROH,DESAGINH,PROPVIVH,CANTPERH,VIEMERGH,CMH31PEHP,CMH29PEHO,CMH12PCTO,CMH20JSEX,CMH19ME14,CMH11JENA,CMH10NIJE,CMV09HOGS,CMH7ADIG1,CMH7BDIG2,RADIO_REF_ID,RADIO,RC91
0,1982151,1907416,1,3,5,1,3,3,3,3,1,1,100,1,2,1,3,1,3,0,21293,1,181050101
1,1982152,1907417,1,2,5,1,3,3,2,3,1,1,100,1,1,1,3,1,2,0,21293,1,181050101
2,1982153,1907418,1,3,5,1,2,1,4,3,1,1,133,1,4,1,6,1,3,0,21293,1,181050101
3,1982154,1907419,1,3,2,1,3,1,2,3,1,1,66,2,1,1,4,1,5,29,21293,1,181050101
4,1982155,1907420,1,6,2,1,2,1,8,3,1,1,133,2,4,1,3,1,3,8,21293,1,181050101
5,1982156,1907421,1,2,5,3,10,1,6,3,1,1,300,1,3,1,11,2,3,0,21293,1,181050101
6,1982157,1907421,2,9,5,8,10,8,4,3,1,1,9999,2,3,1,3,2,4,0,21293,1,181050101
7,1982158,1907422,1,2,5,3,10,1,8,3,1,1,400,1,3,1,1,1,3,0,21293,1,181050101
8,1982159,1907423,1,2,5,3,10,6,10,3,1,1,500,1,3,1,4,1,3,0,21293,1,181050101
9,1982160,1907424,1,1,2,3,10,5,4,3,1,1,400,1,2,1,4,1,3,0,21293,1,181050101
10,1982161,1907425,1,2,2,3,10,1,4,3,1,1,200,2,2,1,4,1,4,0,21293,1,181050101
11,1982162,1907426,1,3,2,1,2,1,4,3,1,1,133,1,2,1,4,1,3,0,21293,1,181050101
12,1982163,1907427,1,2,3,3,10,5,6,3,1,1,300,1,2,1,3,1,3,0,21293,1,181050101
13,1982164,1907428,1,2,5,3,10,1,5,3,1,1,250,1,3,1,3,1,3,0,21293,1,181050101
14,1982165,1907429,1,2,5,3,10,1,7,3,1,1,350,1,3,1,3,1,4,25,21293,1,181050101
15,1982166,1907430,1,3,2,1,2,1,4,3,1,1,133,1,2,1,3,1,3,0,21293,1,181050101
16,1982167,1907431,1,2,5,3,10,5,9,3,1,1,450,1,3,1,3,1,3,0,21293,1,181050101
17,1982168,1907432,1,2,5,2,3,5,5,3,1,1,250,1,3,1,3,1,3,0,21293,1,181050101
18,1982169,1907433,1,2,5,3,10,1,3,3,1,1,150,2,2,1,1,1,4,25,21293,1,181050101
19,1982170,1907434,1,4,5,2,3,1,8,3,1,1,200,1,3,1,3,1,3,0,21293,1,181050101
20,1982171,1907435,1,3,5,2,3,1,4,3,1,1,133,1,2,1,1,1,3,0,21293,1,181050101
21,1982172,1907436,1,5,5,2,3,1,5,3,1,1,100,2,4,1,3,1,4,14,21293,1,181050101
22,1982173,1907437,1,2,5,2,3,1,7,3,1,1,350,1,2,1,1,1,3,0,21293,1,181050101
23,1982174,1907438,1,2,5,3,10,1,1,3,1,1,50,2,1,1,1,1,1,0,21293,1,181050101
24,1982175,1907439,1,2,3,2,3,1,2,3,1,1,100,2,4,1,1,1,5,25,21293,1,181050101
25,1982176,1907440,1,2,5,2,2,1,2,3,1,1,100,2,1,1,3,1,4,0,21293,1,181050101
26,1982177,1907441,1,2,3,3,10,1,2,3,1,1,100,1,1,1,4,1,2,0,21293,1,181050101
27,1982178,1907442,1,2,5,3,10,1,1,3,1,1,50,2,4,1,3,1,1,0,21293,1,181050101
28,1982179,1907443,1,2,2,3,10,1,1,3,1,1,50,1,1,1,6,1,1,0,21293,1,181050101
29,1982180,1907444,1,2,2,3,10,5,5,3,1,1,250,1,3,1,4,1,3,0,21293,1,181050101
30,1982181,1907445,1,4,2,2,3,7,2,3,1,1,50,1,4,1,3,1,4,0,21293,1,181050101
31,1982182,1907446,1,4,5,2,3,1,3,3,1,1,75,1,4,1,4,1,4,0,21293,1,181050101
32,1982183,1907447,1,4,5,2,3,1,3,3,1,1,75,1,1,1,3,1,3,0,21293,1,181050101
33,1982184,1907448,1,3,5,3,10,1,4,3,1,1,133,2,2,1,4,1,3,0,21293,1,181050101
34,1982185,1907449,1,2,2,2,3,1,4,3,1,1,200,2,3,1,4,1,4,0,21293,1,181050101
35,1982186,1907450,1,2,5,3,10,1,7,3,1,1,350,1,6,1,3,1,3,0,21293,1,181050101
36,1982187,1907451,1,3,2,2,3,1,1,3,1,1,33,2,4,1,3,1,1,0,21293,1,181050101
37,1982188,1907452,1,5,2,2,3,1,4,3,1,1,80,1,2,1,4,1,3,0,21293,1,181050101
38,1982189,1907453,1,3,2,2,3,1,5,3,1,1,166,1,2,1,3,1,3,31,21293,1,181050101
39,1982190,1907454,1,4,5,3,10,1,9,3,1,1,225,1,6,1,3,1,3,25,21293,1,181050101
40,1982191,1907455,1,2,2,3,10,8,5,3,1,1,250,1,2,1,3,1,3,0,21293,1,181050101
41,1982192,1907456,1,2,2,3,10,8,5,3,1,1,250,1,3,1,4,1,3,0,21293,1,181050101
42,1982193,1907457,1,3,2,3,10,8,7,3,1,1,233,1,3,1,3,1,3,0,21293,1,181050101
43,1982194,1907458,1,5,2,3,10,1,3,3,1,1,60,1,4,1,3,1,3,0,21293,1,181050101
44,1982195,1907459,1,2,5,3,10,1,5,3,1,1,250,2,5,1,3,1,4,14,21293,1,181050101
45,1982196,1907460,1,2,2,3,10,1,6,3,1,1,300,1,3,1,11,1,3,0,21293,1,181050101
46,1982197,1907461,1,3,2,3,10,1,5,3,1,1,166,1,2,1,3,1,3,29,21293,1,181050101
47,1982198,1907462,1,1,5,3,10,1,8,3,1,1,800,1,3,1,4,1,3,0,21293,1,181050101
48,1982199,1907463,1,2,2,3,10,1,5,3,1,1,250,1,4,1,4,1,3,29,21293,1,181050101
49,1982200,1907464,1,2,3,3,10,3,4,3,1,1,200,2,2,1,3,1,3,29,21293,1,181050101
50,1982201,1907465,1,3,2,3,10,1,5,3,1,1,166,1,2,1,3,1,3,29,21293,1,181050101
51,1982202,1907466,1,4,2,1,2,1,8,3,1,1,200,1,3,1,5,1,3,0,21293,1,181050101
52,1982203,1907467,1,4,2,1,2,1,5,3,1,1,125,1,3,1,4,1,3,0,21293,1,181050101
53,1982204,1907468,1,4,2,1,2,1,7,3,1,1,175,2,2,1,5,1,4,18,21293,1,181050101
54,1982205,1907469,1,3,2,1,2,1,3,3,1,1,100,1,2,1,3,1,3,0,21293,1,181050101
55,1982206,1907470,1,3,2,3,10,5,8,3,1,1,266,1,3,1,4,1,3,0,21293,1,181050101
56,1982207,1907471,1,3,2,1,2,1,6,3,1,1,200,1,3,1,3,1,3,0,21293,1,181050101
57,1982208,1907472,1,2,3,3,10,1,7,3,1,1,350,1,3,1,3,1,3,29,21293,1,181050101
58,1982209,1907473,1,4,2,1,2,1,10,3,1,1,250,1,3,1,5,1,3,0,21293,1,181050101
59,1982210,1907474,1,2,2,1,2,1,4,3,1,1,200,1,2,1,4,1,3,0,21293,1,181050101
60,1982211,1907475,1,3,5,3,10,1,7,3,1,1,233,1,3,1,1,1,3,0,21293,1,181050101
61,1982212,1907476,1,4,2,3,10,1,6,3,1,1,150,2,3,1,3,1,4,18,21293,1,181050101
62,1982213,1907477,1,1,5,3,10,1,5,3,1,1,500,1,3,1,4,1,3,0,21293,1,181050101
63,1982214,1907478,1,3,5,3,10,1,4,3,1,1,133,1,5,1,3,1,2,25,21293,1,181050101
64,1982215,1907479,1,1,5,3,10,1,14,3,1,1,1400,1,6,1,3,1,3,14,21293,1,181050101
65,1982216,1907480,1,4,2,3,10,1,5,3,1,1,125,1,2,1,4,1,3,0,21293,1,181050101
66,1982217,1907481,1,2,3,3,10,2,3,3,1,1,150,1,2,1,3,1,2,25,21293,1,181050101
67,1982218,1907482,1,3,2,1,3,2,3,3,1,1,100,1,2,1,3,1,3,0,21293,1,181050101
68,1982219,1907483,1,2,2,3,10,2,3,3,1,1,150,2,1,1,3,1,4,0,21293,1,181050101
69,1982220,1907484,1,3,5,3,10,2,2,3,1,1,66,1,2,1,1,3,4,0,21293,1,181050101
70,1982221,1907484,2,3,5,3,10,5,6,3,1,1,200,1,3,1,3,3,3,0,21293,1,181050101
71,1982222,1907484,3,3,5,3,10,5,1,3,1,1,33,2,4,1,11,3,1,0,21293,1,181050101
72,1982223,1907485,1,3,2,3,10,2,3,3,1,1,100,1,2,1,4,1,3,0,21293,1,181050101
73,1982224,1907486,1,3,5,3,10,2,4,3,1,1,133,1,1,1,5,1,3,17,21293,1,181050101
74,1982225,1907487,1,3,5,3,10,2,9,3,1,1,300,1,6,1,3,1,3,1,21293,1,181050101
75,1982226,1907488,1,3,2,3,10,2,6,3,1,1,200,1,2,1,4,1,3,0,21293,1,181050101
76,1982227,1907489,1,2,5,3,10,2,9,3,1,1,450,1,3,1,11,1,3,29,21293,1,181050101
77,1982228,1907490,1,2,5,3,10,2,3,3,1,1,150,1,1,1,1,1,4,0,21293,1,181050101
78,1982229,1907491,1,2,5,3,10,2,5,3,1,1,250,2,2,1,5,1,4,18,21293,1,181050101
79,1982230,1907492,1,3,2,3,10,5,7,3,1,1,233,1,3,1,3,1,3,0,21293,1,181050101
80,1982231,1907493,1,2,5,3,10,8,3,3,1,1,150,2,2,1,1,1,4,0,21293,1,181050101
81,1982232,1907494,1,2,2,3,10,2,9,3,1,1,450,1,3,1,3,1,3,0,21293,1,181050101
82,1982233,1907495,1,2,5,3,10,2,1,3,1,1,50,2,4,1,1,1,1,0,21293,1,181050101
83,1982234,1907496,1,2,2,3,10,2,5,3,1,1,250,1,3,1,3,1,3,0,21293,1,181050101
84,1982235,1907497,1,2,5,3,10,1,6,3,1,1,300,2,5,1,3,1,4,0,21293,1,181050101
85,1982236,1907498,1,1,5,3,10,1,2,3,1,1,200,1,1,1,3,1,2,0,21293,1,181050101
86,1982237,1907499,1,1,5,3,10,1,5,3,1,1,500,2,3,1,1,1,4,0,21293,1,181050101
87,1982238,1907500,1,2,5,3,10,8,3,3,1,1,150,1,1,1,3,1,3,0,21293,1,181050101
88,1982239,1907501,1,1,5,3,10,2,4,3,1,1,400,1,2,1,3,1,3,0,21293,1,181050101
89,1982240,1907502,1,2,5,3,10,2,7,3,1,1,350,1,3,1,3,1,3,0,21293,1,181050101
90,1982241,1907503,1,1,5,3,10,2,6,3,1,1,600,1,3,1,3,1,3,0,21293,1,181050101
91,1982242,1907504,1,2,2,3,10,2,2,3,1,1,100,1,1,1,5,1,2,0,21293,1,181050101
92,1982243,1907505,1,2,2,1,2,2,4,3,1,1,200,1,2,2,4,1,3,0,21293,1,181050101
