,Unnamed: 0,VIVIENDA_REF_ID,SEG_REF_ID,LOC,CV12,CV13,CC4,CC5,CC6,CC7,CC9,CC10,CC11,CC12,AGLO,URP,CANTPERS,CANTHOG,CV951,CV94RA,CV952,MUNI,V0T,CV94,TIPOVIV,V4,CC8,V10,V5,V11,RADIO_REF_ID,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDEPTO,RC01
177887,177887,7405199,235641,18105030,9,15,1,1,1,1,1,1,1,2,103,1,0,0,100,1800,1405,180036,7,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177888,177888,7405200,235641,18105030,1,4,1,1,1,1,1,1,1,2,103,1,6,1,100,1800,1405,180036,10,0,1,1,2,2,1,3,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177889,177889,7405201,235641,18105030,1,4,1,1,1,1,1,1,1,2,103,1,5,2,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177890,177890,7405202,235641,18105030,1,4,1,1,1,1,1,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177891,177891,7405203,235641,18105030,1,5,1,1,1,1,1,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177892,177892,7405204,235641,18105030,1,11,1,1,1,1,1,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,1,2,1,4,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177893,177893,7405205,235641,18105030,4,11,1,1,1,1,1,1,1,2,103,1,11,1,100,1800,1405,180036,10,0,1,1,2,2,4,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177894,177894,7405206,235641,18105030,1,11,1,1,1,1,1,1,1,2,103,1,12,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177895,177895,7405207,235641,18105030,1,11,1,1,1,1,1,1,1,2,103,1,12,1,100,1800,1405,180036,10,0,1,1,2,1,4,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177896,177896,7405208,235641,18105030,1,11,1,1,1,1,1,1,1,2,103,1,6,1,100,1800,1405,180036,10,0,1,1,2,3,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177897,177897,7405209,235641,18105030,4,11,1,1,1,1,1,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177898,177898,7405210,235641,18105030,1,11,1,1,1,1,1,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177899,177899,7405211,235641,18105030,1,11,1,1,1,1,1,1,1,2,103,1,4,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177900,177900,7405212,235641,18105030,1,4,1,1,1,1,1,1,1,2,103,1,3,1,100,1800,1405,180036,10,0,1,1,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
