,Unnamed: 0,VIVIENDA_REF_ID,RADIO_REF_ID,TIPVV,V01,V02,V00,URP,INCALSERV,INMAT,MUNI,LOCAL,INCALCONS,TOTHOG,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDPTO,RC10
203904,203904,8364681,29442,1,7,1,0,1,3,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203905,203905,8364682,29442,1,1,7,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203906,203906,8364683,29442,1,1,1,0,1,2,1,181050245,18105030,1,2,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203907,203907,8364684,29442,1,1,1,0,1,3,1,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203908,203908,8364685,29442,1,1,1,0,1,1,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203909,203909,8364686,29442,1,2,7,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203910,203910,8364687,29442,1,2,7,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203911,203911,8364688,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203912,203912,8364689,29442,1,1,1,0,1,3,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203913,203913,8364690,29442,1,1,1,0,1,3,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203914,203914,8364691,29442,1,1,1,0,1,2,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203915,203915,8364692,29442,1,1,1,0,1,2,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203916,203916,8364693,29442,1,1,1,0,1,2,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203917,203917,8364694,29442,1,1,1,0,1,2,2,181050245,18105030,2,2,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203918,203918,8364695,29442,1,1,1,0,1,3,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203919,203919,8364696,29442,1,1,1,0,1,2,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203920,203920,8364697,29442,1,1,1,0,1,2,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203921,203921,8364698,29442,1,1,1,0,1,2,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203922,203922,8364699,29442,1,1,7,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203923,203923,8364700,29442,1,1,1,0,1,2,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203924,203924,8364701,29442,1,1,1,0,1,2,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203925,203925,8364702,29442,1,1,1,0,1,2,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203926,203926,8364703,29442,1,1,1,0,1,3,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203927,203927,8364704,29442,1,1,1,0,1,3,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203928,203928,8364705,29442,1,1,1,0,1,2,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203929,203929,8364706,29442,1,1,1,0,1,2,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203930,203930,8364707,29442,1,2,1,0,1,3,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203931,203931,8364708,29442,1,2,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203932,203932,8364709,29442,1,1,1,0,1,1,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203933,203933,8364710,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203934,203934,8364711,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203935,203935,8364712,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203936,203936,8364713,29442,1,1,1,0,1,1,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203937,203937,8364714,29442,1,1,1,0,1,1,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203938,203938,8364715,29442,1,2,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203939,203939,8364716,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203940,203940,8364717,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203941,203941,8364718,29442,1,1,1,0,1,1,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203942,203942,8364719,29442,1,2,1,0,1,1,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203943,203943,8364720,29442,1,2,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203944,203944,8364721,29442,1,2,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203945,203945,8364722,29442,1,1,1,0,1,3,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203946,203946,8364723,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203947,203947,8364724,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203948,203948,8364725,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203949,203949,8364726,29442,1,1,1,0,1,3,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203950,203950,8364727,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203951,203951,8364728,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203952,203952,8364729,29442,1,1,1,0,1,1,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
