,Unnamed: 0,VIVIENDA_REF_ID,SEGMENTO_REF_ID,VIVIENDA,MANZANA,CONDOCUP,VIVCOLECT,TIPOVIV,CANTHOGAR,PAREDES,TECHO,PISOS,ELECTRIC,AGUA,OBTAGUA,CMV60UNBI,CMV61HJEF,CMV29PEVI,CMV27ARPO,CMV79NCAJ,CMV16CTOS,CMV15TCAS,CMV14INOD,CMV13DINO,CMV23NBI,CMV2AHACI,CMV2BTIVI,CMV2CRETR,CMV2DEDES,CMV2ECASU,CMV08PERS,CMV05TALO,CMV24LOCO,PROVORIG,RADIO_REF_ID,SEGMENTO,FRACCION_REF_ID,RADIO,DEPTO_REF_ID,FRACCION,PROVIN_REF_ID,DEPTO,NOMBDEPTO,RC91
80595,80595,1907416,127563,1,003,1,10,1,1,1,3,1,1,1,1,4,100,1,0,430082,100,1,0,3,0,0,0,0,0,0,3,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80596,80596,1907417,127563,2,003,1,10,1,1,1,3,2,3,2,3,4,100,1,0,430082,100,2,0,3,0,0,0,0,0,0,2,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80597,80597,1907418,127563,3,002,1,10,1,1,1,3,1,1,2,3,4,100,1,0,430082,100,2,0,2,0,0,0,0,0,0,4,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80598,80598,1907419,127563,4,002,1,10,1,1,1,3,1,1,2,4,4,100,1,0,430082,100,2,0,3,0,0,0,0,0,0,2,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80599,80599,1907420,127563,5,002,1,10,1,1,1,3,1,1,1,1,4,100,1,0,430082,100,1,0,2,0,0,0,0,0,0,8,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80600,80600,1907421,127563,7,004,1,10,1,2,1,3,3,3,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,10,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80601,80601,1907422,127563,8,004,1,10,1,1,1,3,2,3,3,1,4,100,1,0,430082,100,2,3,7,3,1,0,1,0,1,8,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80602,80602,1907423,127563,9,004,1,10,1,1,1,3,2,3,3,1,4,100,1,0,430082,100,2,3,7,1,1,0,0,0,0,10,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80603,80603,1907424,127563,10,004,1,10,1,1,1,3,3,1,3,1,4,100,1,0,430082,100,2,3,7,1,1,0,0,0,0,4,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80604,80604,1907425,127563,11,004,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,4,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80605,80605,1907426,127563,12,004,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,2,0,0,0,0,0,0,4,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80606,80606,1907427,127563,13,004,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,1,0,0,1,0,0,6,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80607,80607,1907428,127563,14,004,1,10,1,1,1,3,3,3,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,5,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80608,80608,1907429,127563,15,004,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,1,1,0,0,0,0,7,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80609,80609,1907430,127563,16,004,1,10,1,1,1,3,1,1,1,1,4,100,1,0,430082,100,1,0,2,0,0,0,0,0,0,4,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80610,80610,1907431,127563,17,004,1,10,2,1,3,5,3,3,3,1,4,100,1,0,430082,100,0,3,7,3,1,0,1,1,0,9,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80611,80611,1907432,127563,18,004,1,10,1,1,1,3,2,1,2,1,4,100,1,0,430082,100,2,0,3,0,0,0,0,0,0,5,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80612,80612,1907433,127563,19,004,1,10,1,1,1,3,3,3,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,3,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80613,80613,1907434,127563,20,004,1,10,1,1,1,3,1,1,1,1,4,100,1,0,430082,100,1,0,3,0,0,0,0,0,0,8,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80614,80614,1907435,127563,21,004,1,10,1,1,1,3,2,1,2,1,4,100,1,0,430082,100,2,0,3,0,0,0,0,0,0,4,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80615,80615,1907436,127563,22,004,1,10,1,1,1,3,3,1,2,1,4,100,1,0,430082,100,2,0,3,0,0,0,0,0,0,5,6,3800,18,21293,1,2461,01,205,01,5,105,Mercedes                                          ,181050101
80616,80616,1907437,127564,1,001,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,3,1,1,0,0,0,0,7,6,3800,18,21293,2,2461,01,205,01,5,105,Mercedes                                          ,181050101
