PC20_ID;C1991_ID;C1991_RC;C1991_Ha;C1991_Viv;C1991_Ha_Ajust;C1991_Viv_Ajust;C2001_ID;C2001_RC;C2001_Ha;C2001_Viv;C2001_Ha_Ajust;C2001_Viv_Ajust;C2010_ID;C2010_RC;C2010_Ha;C2010_Viv;PC20_RC;PC20_RC;PC20_Ha;PC20_Viv;Crec91_01;Crec01_10;Crec10_20;Prom_IntCens;CrecAcu91_01;CrecAcu01_10;CrecAcu10_20
3;15;181050113;23,783625;204;100%;204;16;181050113;23,783625;254;100%;254;14;181050115;23,8;239;1,8105E+11;181050115;23,502042;247;50;0;8;19;254;254;262
5;20;181050117;29,153938;289;100%;289;22;181050117;29,153938;367;100%;367;24;181052106;29,2;356;1,8105E+11;181052106;28,537786;455;78;0;99;59;367;367;466
24;3;181050201;264,774325;15;100%;15;3;181050201;264,774325;30;100%;30;15;181050201;264,8;21;1,8105E+11;181050201;123,20068;30;15;0;9;8;30;30;39
28;21;181050122;187,133238;191;24%;145;23;181050122;45,006487;268;100%;268;32;181052114;45;263;1,8105E+11;181052114;40,317637;306;123;0;43;55;268;268;311
15;6;181050112;50,969025;82;100%;82;7;181050112;50,969025;387;100%;387;13;181050114;51;385;1,8105E+11;181050114;50,753023;442;305;0;57;121;387;387;444
1;13;181050121;20,104837;124;100%;124;14;181050121;20,104837;184;100%;184;19;181052101;20,1;183;1,8105E+11;181052101;21,178062;205;60;0;22;27;184;184;206
26;100;100;100;100;0%;0;100;100;100;100;0%;0;0;100;0;0;1,8105E+11;181050202;34,81468;420;0;0;420;140;0;0;420
34;100;100;100;100;0%;0;100;100;100;100;0%;0;0;100;0;0;1,8105E+11;181050302;31,955707;13;0;0;13;4;0;0;13
4;100;100;100;100;0%;0;100;100;100;100;0%;0;0;100;0;0;1,8105E+11;181051003;130,179307;139;0;0;139;46;0;0;139
8;14;181050115;342,661563;282;65%;184;15;181050115;342,661563;388;65%;253;27;181052109;223,1;255;1,8105E+11;181052109;220,91753;304;69;2;49;40;253;255;304
30;4;181050102;25,0907;331;49%;162;5;181050102;25,0907;454;49%;222;4;181050105;12,2;225;1,8105E+11;181050105;12,329468;277;60;3;52;38;222;225;277
2;11;181050107;26,650475;273;100%;273;12;181050107;26,650475;333;100%;333;9;181050110;26,6;341;1,8105E+11;181050110;26,26881;420;60;8;79;49;333;341;420
29;7;181050108;18,361525;272;100%;272;8;181050108;18,361525;324;100%;324;3;181050104;18,4;333;1,8105E+11;181050104;18,037079;436;52;9;103;55;324;333;436
10;10;181050109;16,793;141;100%;141;11;181050109;16,793;177;100%;177;10;181050111;16,8;187;1,8105E+11;181050111;16,56096;213;36;10;26;24;177;187;213
35;0;181050101;113,403113;362;16%;187;4;181050125;18,36375;243;100%;243;1;181050102;18,4;263;1,8105E+11;181050102;18,267555;314;56;20;51;42;243;263;314
18;25;181050124;32,77725;217;100%;217;28;181050124;32,77725;329;100%;329;29;181052111;32,8;350;1,8105E+11;181052111;32,061637;401;112;21;51;61;329;350;401
21;12;181050106;30,53185;246;100%;246;13;181050106;30,53185;316;100%;316;8;181050109;30,5;338;1,8105E+11;181050109;29,729975;457;70;22;119;70;316;338;457
6;22;181050116;33,266588;305;100%;305;25;181050116;33,266588;393;100%;393;25;181052107;33,3;420;1,8105E+11;181052107;33,220207;587;88;27;167;94;393;420;587
25;24;181050801;338,57825;16;93%;1;27;181050801;338,57825;29;93%;2;17;181050801;316,5;31;1,8105E+11;181050801;14,721943;155;1;29;124;51;2;31;155
7;17;181050114;32,668788;269;100%;269;18;181050114;32,668788;340;100%;340;26;181052108;32,7;370;1,8105E+11;181052108;32,212144;432;71;30;62;54;340;370;432
16;19;181050118;32,350175;271;100%;271;21;181050118;32,350175;323;100%;323;23;181052105;32,3;355;1,8105E+11;181052105;31,798199;377;52;32;22;35;323;355;377
31;5;181050103;28,728588;312;100%;312;6;181050103;28,728588;375;100%;375;5;181050106;28,7;408;1,8105E+11;181050106;28,570782;471;63;33;63;53;375;408;471
12;18;181050119;39,215475;273;41%;112;19;181050119;16,160688;264;100%;264;21;181052103;16,2;298;1,8105E+11;181052103;15,976313;328;151;34;30;72;264;298;328
9;16;181050120;17,150913;342;100%;342;17;181050120;17,150913;445;100%;445;20;181052102;17,1;479;1,8105E+11;181052102;17,184917;527;103;34;48;62;445;479;527
13;9;181050111;39,320937;234;100%;234;10;181050111;39,320937;353;100%;353;12;181050113;39,3;388;1,8105E+11;181050113;38,720579;645;119;35;257;137;353;388;645
20;2;181050105;191,956562;57;100%;57;2;181050105;191,956562;117;100%;117;7;181050108;192;152;1,8105E+11;181050108;189,828284;229;60;35;77;57;117;152;229
